時間,階段,文本,模型,CFG,DIT,結果,耗時(s),History-ID,檔案路徑,備註
2026-08-18T12:40:32,2,小王子台語,ft-mixed-lr1e5-e2.0-0803,2.0,20,成功,61.0,dd721dbb81fb40efbc7ccdc555defc4a,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT20.wav,
2026-08-18T12:41:35,2,小王子台語,ft-mixed-lr1e5-e2.3-0731,2.0,20,成功,62.6,69175ec982e74860884787ebc0dd04c5,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT20.wav,
2026-08-18T12:43:06,2,小王子台語,lora-r32-mixed-e7.6-0731,2.0,20,成功,90.7,866c970652e94eaba5eb944664a09220,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/lora-r32-mixed-e7.6-0731_CFG2.0_DIT20.wav,
2026-08-18T12:44:09,2,小王子台語,ft-mixed-lr1e5-e1.6-0801,2.0,30,成功,62.7,4e8ac957c8734f5780054ef0d95742ac,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT30.wav,
2026-08-18T12:45:13,2,小王子台語,ft-mixed-lr1e5-e2.0-0803,2.0,30,成功,64.6,8cc54a9d52a540f1a1818fdf9df462b7,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT30.wav,
2026-08-18T12:46:15,2,小王子台語,ft-mixed-lr1e5-e2.3-0731,2.0,30,成功,61.8,de1e84af5280493c86f2ca9e1fbbff58,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT30.wav,
2026-08-18T12:47:50,2,小王子台語,lora-r32-mixed-e7.6-0731,2.0,30,成功,94.7,9b810d38773c4af983eccf7d6e7cba9d,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/lora-r32-mixed-e7.6-0731_CFG2.0_DIT30.wav,
2026-08-18T13:12:00,3,小王子台語,ft-mixed-lr1e5-e1.6-0801,3.0,10,成功,61.4,9108e02943c94c9ca70ba6fd8b857d0f,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e1.6-0801_CFG3.0_DIT10.wav,
2026-08-18T13:13:02,3,小王子台語,ft-mixed-lr1e5-e2.0-0803,3.0,10,成功,61.1,999745bff6df41f0aefa3fa7ee8a6bb4,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.0-0803_CFG3.0_DIT10.wav,
2026-08-18T13:14:02,3,小王子台語,ft-mixed-lr1e5-e2.3-0731,3.0,10,成功,60.8,7dd422ce0ee543ca9a6917131a7e1e1b,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.3-0731_CFG3.0_DIT10.wav,
2026-08-18T13:15:32,3,小王子台語,lora-r32-mixed-e7.6-0731,3.0,10,成功,89.0,a0213d24199b4edd892087d185dbbae2,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/lora-r32-mixed-e7.6-0731_CFG3.0_DIT10.wav,
2026-08-18T13:30:20,4,小王子台語,ft-mixed-lr1e5-e1.6-0801,3.0,20,成功,62.3,e8e8bed297c8470f8aff1d877acd9888,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e1.6-0801_CFG3.0_DIT20.wav,
2026-08-18T13:48:22,4,小王子台語,ft-mixed-lr1e5-e2.0-0803,3.0,20,失敗,1081.7,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.0-0803_CFG3.0_DIT20.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-18T14:23:44,4,小王子台語,ft-mixed-lr1e5-e2.0-0803,3.0,20,成功,29.3,00994a552cf34f74ac88ddf00b13ec73,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.0-0803_CFG3.0_DIT20.wav,
2026-08-18T14:24:43,4,小王子台語,ft-mixed-lr1e5-e2.3-0731,3.0,20,成功,59.0,5dfc1ed9af384f97b46aecf9a30b9744,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.3-0731_CFG3.0_DIT20.wav,
2026-08-18T14:26:14,4,小王子台語,lora-r32-mixed-e7.6-0731,3.0,20,成功,91.0,a390e1f872ef40b09925a5469853233f,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/lora-r32-mixed-e7.6-0731_CFG3.0_DIT20.wav,
2026-08-18T14:27:14,4,小王子台語,ft-mixed-lr1e5-e1.6-0801,3.0,30,成功,60.3,5251d78c32d84b49946a0c4cdb111df4,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e1.6-0801_CFG3.0_DIT30.wav,
2026-08-18T14:28:15,4,小王子台語,ft-mixed-lr1e5-e2.0-0803,3.0,30,成功,60.8,0571f427470749c79897d438cc8d71e9,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.0-0803_CFG3.0_DIT30.wav,
2026-08-18T14:29:17,4,小王子台語,ft-mixed-lr1e5-e2.3-0731,3.0,30,成功,61.6,a9a199a3dcae413699d3562818f85b47,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/ft-mixed-lr1e5-e2.3-0731_CFG3.0_DIT30.wav,
2026-08-18T14:30:46,4,小王子台語,lora-r32-mixed-e7.6-0731,3.0,30,成功,89.4,2e28f0c122d14fa3829483b99b5563e4,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/小王子台語/lora-r32-mixed-e7.6-0731_CFG3.0_DIT30.wav,
