時間,LLM,聲音,文本,結果,耗時(s),Seed,檔案路徑,備註
2026-08-18T16:08:15,V7,1139男聲,三國演義台語,成功,34.1,213790363,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V7_1139男聲.wav,
2026-08-18T16:08:58,V7,1139男聲,紅樓夢台語,成功,42.5,1277060178,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V7_1139男聲.wav,
2026-08-18T16:09:38,V7,1139男聲,氣象台語,成功,39.6,602902548,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V7_1139男聲.wav,
2026-08-18T16:10:11,V7,1139男聲,小王子台語,成功,32.6,52154991,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/小王子台語/V7_1139男聲.wav,
2026-08-18T16:57:05,V6,489女聲,三國演義,成功,56.8,1839464165,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V6_489女聲.wav,
2026-08-18T16:57:42,V6,489女聲,紅樓夢,成功,37.1,161444158,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V6_489女聲.wav,
2026-08-18T16:58:16,V6,489女聲,氣象,成功,33.7,1672547321,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V6_489女聲.wav,
2026-08-18T16:58:54,V6,489女聲,三國演義台語,成功,37.7,1420200644,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V6_489女聲.wav,
2026-08-18T16:59:33,V6,489女聲,紅樓夢台語,成功,38.6,1992143123,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V6_489女聲.wav,
2026-08-18T17:00:11,V6,489女聲,氣象台語,成功,38.4,1244429294,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V6_489女聲.wav,
2026-08-18T17:00:47,V6,489女聲,小王子台語,成功,36.2,18346568,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/小王子台語/V6_489女聲.wav,
2026-08-18T17:01:45,V7,489女聲,三國演義,成功,57.9,836128870,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V7_489女聲.wav,
2026-08-18T17:02:27,V7,489女聲,紅樓夢,成功,41.3,1784431532,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V7_489女聲.wav,
2026-08-18T17:03:10,V7,489女聲,氣象,成功,43.0,1969066380,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V7_489女聲.wav,
2026-08-18T17:03:47,V7,489女聲,三國演義台語,成功,37.4,1382939099,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V7_489女聲.wav,
2026-08-18T17:04:34,V7,489女聲,紅樓夢台語,成功,47.0,1907417523,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V7_489女聲.wav,
2026-08-18T17:05:21,V7,489女聲,氣象台語,成功,46.1,1409152219,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V7_489女聲.wav,
2026-08-18T17:05:52,V7,489女聲,小王子台語,成功,31.7,755136693,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/小王子台語/V7_489女聲.wav,
