時間,階段,文本,模型,CFG,DIT,結果,耗時(s),History-ID,檔案路徑,備註
2026-08-15T07:55:36,2,三國演義,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,30,成功,100.4,42b3fc4e81494d749c794a72f8f745d8,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT30.wav,
2026-08-15T07:57:18,2,三國演義,bm-tslm-mixed-mixedval-e2.0-0804,2.0,30,成功,102.4,f6613d9b3a60480bb865040d6093cf5e,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT30.wav,
2026-08-15T07:58:51,2,紅樓夢,bm-cent-mixed-e12-ep12-0810,2.0,30,成功,92.7,968c5b93c38d481c8a8466a6ae95590e,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-cent-mixed-e12-ep12-0810_CFG2.0_DIT30.wav,
2026-08-15T08:00:57,2,紅樓夢,bm-tslm-mixed-e12-ep12-0811,2.0,30,成功,126.0,113148921dbd4b5e86b345c247978186,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-e12-ep12-0811_CFG2.0_DIT30.wav,
2026-08-15T08:03:57,2,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,30,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT30.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T08:06:58,2,紅樓夢,bm-tslm-mixed-mixedval-e2.0-0804,2.0,30,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT30.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T08:13:50,2,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,30,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT30.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T08:16:41,2,紅樓夢,bm-tslm-mixed-mixedval-e2.0-0804,2.0,30,成功,171.4,def9242974e14203844f6935e661eea9,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT30.wav,
2026-08-15T08:18:32,2,新聞,bm-cent-mixed-e12-ep12-0810,2.0,30,成功,110.3,8f1a54c786a047f7bcbef9c4e3033eb9,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-cent-mixed-e12-ep12-0810_CFG2.0_DIT30.wav,
2026-08-15T08:20:18,2,新聞,bm-tslm-mixed-e12-ep12-0811,2.0,30,成功,106.0,3559cc0eb6144811a024d07a6e1aec45,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-e12-ep12-0811_CFG2.0_DIT30.wav,
2026-08-15T08:22:10,2,新聞,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,30,成功,112.6,d010a334f5804993ad61d64fe3d1c9d8,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT30.wav,
2026-08-15T08:25:10,2,新聞,bm-tslm-mixed-mixedval-e2.0-0804,2.0,30,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT30.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T08:27:11,2,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,30,成功,108.1,3708624f43f74b1faed620756b90a465,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT30.wav,
2026-08-15T08:28:47,2,新聞,bm-tslm-mixed-mixedval-e2.0-0804,2.0,30,成功,96.2,f97c4829c5aa4680b0331d2fbccba57d,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT30.wav,
2026-08-15T08:31:28,3,三國演義,bm-cent-mixed-e12-ep12-0810,1.0,10,成功,51.6,e8db691f65854baca868b6c25a21781e,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-cent-mixed-e12-ep12-0810_CFG1.0_DIT10.wav,
2026-08-15T08:32:19,3,三國演義,bm-tslm-mixed-e12-ep12-0811,1.0,10,成功,51.7,542dbfa0e059435380db94fc035d0731,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-e12-ep12-0811_CFG1.0_DIT10.wav,
2026-08-15T08:33:07,3,三國演義,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,成功,47.4,502bfa08696d47078018712ffabb5d53,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,
2026-08-15T08:33:52,3,三國演義,bm-tslm-mixed-mixedval-e2.0-0804,1.0,10,成功,45.1,0410ab836c4844069e673457b1c89aa0,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-mixedval-e2.0-0804_CFG1.0_DIT10.wav,
2026-08-15T08:34:37,3,紅樓夢,bm-cent-mixed-e12-ep12-0810,1.0,10,成功,44.8,dec97239f5794a2a9b56f835b9edf83b,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-cent-mixed-e12-ep12-0810_CFG1.0_DIT10.wav,
2026-08-15T08:35:28,3,紅樓夢,bm-tslm-mixed-e12-ep12-0811,1.0,10,成功,50.5,b0b4671877c84a9c8d9db3bd8d2ef68e,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-e12-ep12-0811_CFG1.0_DIT10.wav,
2026-08-15T08:38:28,3,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T08:39:59,3,紅樓夢,bm-tslm-mixed-mixedval-e2.0-0804,1.0,10,成功,91.7,06c31a95ebd940ee99ef7f67200cb43c,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-mixedval-e2.0-0804_CFG1.0_DIT10.wav,
2026-08-15T08:40:40,3,新聞,bm-cent-mixed-e12-ep12-0810,1.0,10,成功,40.7,b9bc68d267d44aecaf6048fe0abb69e4,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-cent-mixed-e12-ep12-0810_CFG1.0_DIT10.wav,
2026-08-15T08:41:30,3,新聞,bm-tslm-mixed-e12-ep12-0811,1.0,10,成功,49.7,ed5d0027d2354652947256f50b235e43,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-e12-ep12-0811_CFG1.0_DIT10.wav,
2026-08-15T08:44:30,3,新聞,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,失敗,180.1,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T08:46:08,3,新聞,bm-tslm-mixed-mixedval-e2.0-0804,1.0,10,成功,97.9,ec27021cded34a4081436376140c1a23,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-mixedval-e2.0-0804_CFG1.0_DIT10.wav,
2026-08-15T08:46:55,3,三國演義,bm-cent-mixed-e12-ep12-0810,3.0,10,成功,46.2,dfce20c269da4e199c72c58958ed9b72,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-cent-mixed-e12-ep12-0810_CFG3.0_DIT10.wav,
2026-08-15T08:47:42,3,三國演義,bm-tslm-mixed-e12-ep12-0811,3.0,10,成功,46.9,5668a8d3c0f7489fbafac1168803efa6,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-e12-ep12-0811_CFG3.0_DIT10.wav,
2026-08-15T08:48:34,3,三國演義,bm-tslm-mixed-lr5e5-e0.9-0804,3.0,10,成功,52.0,bb6818326bc94fd8a8871df98618324e,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-lr5e5-e0.9-0804_CFG3.0_DIT10.wav,
2026-08-15T08:49:15,3,三國演義,bm-tslm-mixed-mixedval-e2.0-0804,3.0,10,成功,41.2,f630313bea604f10857b41bfbbbf72d4,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-mixedval-e2.0-0804_CFG3.0_DIT10.wav,
2026-08-15T08:49:53,3,紅樓夢,bm-cent-mixed-e12-ep12-0810,3.0,10,成功,37.6,73fdb5eefaee4e99830669a04d662d52,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-cent-mixed-e12-ep12-0810_CFG3.0_DIT10.wav,
2026-08-15T08:50:48,3,紅樓夢,bm-tslm-mixed-e12-ep12-0811,3.0,10,成功,55.6,bc57e42175e747ea85a28f135da926fa,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-e12-ep12-0811_CFG3.0_DIT10.wav,
2026-08-15T08:53:48,3,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,3.0,10,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG3.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T08:55:18,3,紅樓夢,bm-tslm-mixed-mixedval-e2.0-0804,3.0,10,成功,89.3,f2b87b81a43444c49d61845dc486c60f,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-mixedval-e2.0-0804_CFG3.0_DIT10.wav,
2026-08-15T08:56:02,3,新聞,bm-cent-mixed-e12-ep12-0810,3.0,10,成功,43.7,f08bf662fc634ab48ec12bce301d71c3,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-cent-mixed-e12-ep12-0810_CFG3.0_DIT10.wav,
2026-08-15T08:56:48,3,新聞,bm-tslm-mixed-e12-ep12-0811,3.0,10,成功,46.2,e18e92eb34f84cf8b5819c07a7985d7c,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-e12-ep12-0811_CFG3.0_DIT10.wav,
2026-08-15T08:57:39,3,新聞,bm-tslm-mixed-lr5e5-e0.9-0804,3.0,10,成功,51.0,91758500554849b1b0436ca87100e390,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-lr5e5-e0.9-0804_CFG3.0_DIT10.wav,
2026-08-15T08:58:22,3,新聞,bm-tslm-mixed-mixedval-e2.0-0804,3.0,10,成功,43.1,eb4dc4e581d447d2b82ea60b6becedd9,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-mixedval-e2.0-0804_CFG3.0_DIT10.wav,
2026-08-15T09:01:36,3,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,失敗,180.2,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T09:04:36,3,新聞,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T09:11:52,3,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T09:14:52,3,新聞,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T10:25:28,3,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,失敗,180.1,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T10:28:28,3,新聞,bm-tslm-mixed-lr5e5-e0.9-0804,1.0,10,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-lr5e5-e0.9-0804_CFG1.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-17T13:24:37,3,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,3.0,10,成功,52.9,bd3aa887641b435492d9ef4e062486ba,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG3.0_DIT10.wav,
